cod_concesion,COD_CONTADOR_ACT,CALIBRE
VR,Q18GA037883C,13.0
VR,A10OA103270E,13.0
VR,,
VR,Q18EA01939V,13.0
VR,,
VR,Q21GA045776W,13.0
VR,,
VR,64703114,13.0
VR,,
VR,D11CA267840O,13.0
VR,J14LA732662S,13.0
VR,,
VR,Q19GA005120E,13.0
VR,,
VR,,
VR,,
VR,Q18EA019901V,13.0
VR,,
VR,,
VR,30271,13.0
VR,,
VR,Q19GA005083Q,15.0
VR,Q19GA005083Q,15.0
VR,Q18GA043482E,13.0
VR,Q18GA038005U,13.0
VR,Q18EA019824Z,13.0
VR,D10CA453979O,13.0
VR,D10CA453980H,13.0
VR,,
VR,Q18GA037999N,13.0
VR,Q18GA042935I,13.0
VR,Q18GA038004T,13.0
VR,Q18GA037812N,13.0
VR,J17LA638700A,13.0
VR,Q18GA037920Q,13.0
VR,Q18GA037871Y,13.0
VR,Q18GA043291Z,13.0
VR,J14LA732604I,13.0
VR,Q18GA042953K,13.0
VR,85187536_989580_FICT,13.0
VR,,
VR,A11OA063708U,13.0
VR,J15LA850953R,13.0
VR,A11OA063709V,13.0
VR,Q18GA043293B,13.0
VR,J15LA851051S,13.0
VR,A11OA063743X,13.0
VR,A11OA063711P,13.0
VR,A11OA063714S,13.0
VR,,
VR,,
VR,D11CA267697Z,13.0
VR,,
VR,,
VR,,
VR,Q18EA019392W,13.0
VR,,
VR,,
VR,Q18GA037931T,13.0
VR,J15LA851288L,13.0
VR,,
VR,,
VR,C18LA220117S,13.0
VR,Q19GA005228P,13.0
VR,Q19GA005228P,13.0
VR,Q18EA019367V,13.0
VR,Q18EA019367V,13.0
VR,Q18GA042936J,13.0
VR,Q19GA023638F,13.0
VR,Q19GA024012H,13.0
VR,Q19GA024012H,13.0
VR,Q18GA043047P,13.0
VR,Q18GA043042K,13.0
VR,Q18GA043118N,13.0
VR,J15LA851332Y,13.0
VR,Q19GA023953N,13.0
VR,Q19GA023953N,13.0
VR,N597287,0.0
VR,N597287,0.0
VR,4161945,
VR,4161945,
VR,4161945,
VR,J121948,13.0
VR,J121948,13.0
VR,2016215,13.0
VR,2016215,13.0
VR,4159758,13.0
VR,4159758,13.0
VR,4156300,13.0
VR,4156300,13.0
VR,Q19GA005827A,13.0
VR,Q18EA019356S,13.0
VR,Q19GA023860J,13.0
VR,Q19GA023860J,13.0
VR,D12TA089419A,13.0
VR,Q18GA043731C,13.0
VR,Q19GA023750E,13.0
VR,D11CA147943E,13.0
VR,D11CA147942,13.0
VR,D11CA147944F,13.0
VR,D11CA147937G,13.0
VR,,
VR,,
VR,14LA728114C,13.0
VR,Q18EA019643W,13.0
VR,,
VR,J17LA638832L,13.0
VR,,
VR,,
VR,,
VR,D11CA147918D,13.0
VR,Q18GA038052B,13.0
VR,Q18GA038052B,13.0
VR,Q21GA046190G,13.0
VR,Q18GA038090H,13.0
VR,,
VR,,
VR,,
VR,Q18GA043697R,13.0
VR,,
VR,,
VR,,
VR,Q19GA023744G,13.0
VR,Q19GA023824F,13.0
VR,,
VR,Q18GA043783O,13.0
VR,,
VR,,
VR,,
VR,,
VR,,
VR,Q18EA019659E,13.0
VR,,
VR,Q18EA019686H,13.0
VR,,
VR,Q19GA023582G,13.0
VR,Q18GA043361W,13.0
VR,A11OA130023D,13.0
VR,D11CA147921Y,13.0
VR,Q19GA004953H,13.0
VR,Q21EA037166P,13.0
VR,Q21GA031106V,13.0
VR,D11CA147932B,13.0
VR,Q19GA023958S,13.0
VR,Q19GA023958S,13.0
VR,Q18GA042931E,13.0
VR,Q18GA043787S,13.0
VR,Q18GA043787S,13.0
VR,Q18GA042898U,13.0
VR,Q18GA042898U,13.0
VR,Q21GA046052,13.0
VR,Q21EA037141G,13.0
VR,Q21EA037142M,13.0
VR,Q21GA031235D,13.0
VR,Q21GA046192I,13.0
VR,Q18EA019454T,13.0
VR,Q18GA043087X,13.0
VR,,
VR,Q21GA045955X,13.0
VR,Q21EA037257R,13.0
VR,Q18GA038079M,13.0
VR,Q21EA037328P,13.0
VR,Q21EA037328P,13.0
VR,J15LA851014N,13.0
VR,Q18GA043160P,13.0
VR,A11OA206417G,13.0
VR,Q21GA046191H,13.0
VR,Q21GA031211V,13.0
VR,A11OA216288U,13.0
VR,Q18GA037985H,13.0
VR,,
VR,Q19GA005270R,13.0
VR,Q19GA005270R,13.0
VR,,
VR,,
VR,,
VR,,
VR,,
VR,,
VR,,
VR,,
VR,J14LA719713E,13.0
VR,84964,0.0
VR,84964,0.0
VR,,
VR,J17LA638718K,13.0
VR,,
VR,J15LA851514C,13.0
VR,Q18EA019834B,13.0
VR,Q18EA019834B,13.0
VR,Q18EA019834B,13.0
VR,Q18EA019834B,13.0
VR,,
VR,D11LA267692U,13.0
VR,Q21GA031265J,13.0
VR,2068905,0.0
VR,2068905,0.0
VR,,
VR,1097554,13.0
VR,,
VR,991107466,13.0
VR,Q18GA038091L,13.0
VR,,
VR,Q19GA004869M,13.0
VR,Q19GA023598O,13.0
VR,,
VR,Q21GA045957Z,13.0
VR,Q19GA005130G,13.0
VR,Q21GA045800F,13.0
VR,,
VR,,
VR,,
VR,J14LA732596Z,13.0
VR,,
VR,Q19GA005082P,13.0
VR,,
VR,J14LA719575M,13.0
VR,,
VR,,
VR,,
VR,J14LA732651P_3037322_FICT,13.0
VR,,
VR,Q18EA019362Q,13.0
VR,,
VR,Q18GA037984G,13.0
VR,,
VR,,
VR,3089836,13.0
VR,,
VR,D11CA203535Q,13.0
VR,Q18GA043623Z,13.0
VR,Q18GA043635D,13.0
VR,Q18GA043625B,13.0
VR,Q18GA043632A,13.0
VR,Q18GA043618C,13.0
VR,Q18GA043620W,13.0
VR,Q18GA043619D,13.0
VR,Q19GA023613W,13.0
VR,C18LA220115Q,13.0
VR,Q18GA043732D,13.0
VR,,
VR,,
VR,,
VR,J15LA850410R,13.0
VR,,
VR,J17LA638881,13.0
VR,,
VR,Q18GA042885P,13.0
VR,Q18GA042950H,13.0
VR,Q21GA031259L,13.0
VR,Q18GA042949O,13.0
VR,,
VR,,
VR,Q18GA042879R,13.0
VR,A11OA216150D,13.0
VR,Q18EA019859K,13.0
VR,Q18GA042952J,13.0
VR,Q18GA043388H,13.0
VR,Q18GA042883N,13.0
VR,J15LA851371F,13.0
VR,Q18GA042951I,13.0
VR,Q21GA031243D,13.0
VR,Q18GA043287D,13.0
VR,,
VR,J15LA851333Z,13.0
VR,J14LA719669R,13.0
VR,J170000,13.0
VR,Q21GA046021Q,13.0
VR,Q18GA042933G,13.0
VR,Q18GA043121I,13.0
VR,D12TA089657M,13.0
VR,Q18EA019769J,13.0
VR,,
VR,,
VR,,
VR,Q21GA045770Q,13.0
VR,,
VR,Q18GA037961Z,13.0
VR,Q18GA037966E,13.0
VR,D11CA267760P,13.0
VR,J15LA850963T,13.0
VR,Q18GA042955M,13.0
VR,Q21GA046223Y,13.0
VR,Q18GA042927I,13.0
VR,Q18GA043626C,13.0
VR,Q21EA037151I,13.0
VR,Q21GA031154D,13.0
VR,J14LA728162W,13.0
VR,Q22GA021048G,13.0
VR,,
VR,Q18GA043352V,13.0
VR,,
VR,Q19GA023667K,13.0
VR,,
VR,Q18GA043843J,13.0
VR,Q18GA038054D,13.0
VR,,
VR,Q21GA045888O,13.0
VR,J14LA732583U,13.0
VR,,
VR,Q18GA043616A,13.0
VR,,
VR,Q21GA045826P,13.0
VR,Q21GA043128P,13.0
VR,Q21GA031149G,0.0
VR,Q21GA031149G,0.0
VR,Q19GA023872W,13.0
VR,Q18GA042956N,13.0
VR,Q18GA042877P,13.0
VR,Q21GA046075E,13.0
VR,Q19GA023926K,13.0
VR,Q22GA020965E,13.0
VR,D12TA089565J,13.0
VR,D10CB035384A,20.0
VR,,
VR,,
VR,Q21GA031177K,13.0
VR,Q21GA031177K,13.0
VR,D10CB035386C,20.0
VR,D12TA089448F,13.0
VR,Q18GA043489L,13.0
VR,Q18GA043487J,13.0
VR,Q21GA031150Z,13.0
VR,Q21GA031145C,13.0
VR,Q18GA042947M,13.0
VR,,
VR,,
VR,Q18EA018468V,13.0
VR,,
VR,Q18GA043805D,13.0
VR,,
VR,,
VR,Q18GA042890M,13.0
VR,J15LA851420X,13.0
VR,,
VR,Q21GA045931P,13.0
VR,,
VR,,
VR,,
VR,J17LA638930M,13.0
VR,,
VR,,
VR,Q18GA043308R,13.0
VR,Q18GA043648I,13.0
VR,A12WF720998G,50.0
VR,J14LA728132Q,13.0
VR,J15LA850954S,13.0
VR,Q21GA046149F,13.0
VR,C18LA220118T,13.0
VR,D12TA089866X,13.0
VR,Q19GA023684L,13.0
VR,D12TA089887Y,13.0
VR,J14LA732510D,13.0
VR,D12TA089890T,13.0
VR,,
VR,,
VR,J15LA851484N,13.0
VR,,
VR,,
VR,,
VR,J15LA837042F,13.0
VR,,
VR,Q18GA042871J,13.0
VR,Q18EA019609U,13.0
VR,Q21GA045821K,13.0
VR,Q19GA023599P,13.0
VR,Q21GA046232Z,13.0
VR,Q18EA018458T,13.0
VR,Q22GA021036C,13.0
VR,D12TA089751J,13.0
VR,Q19GA023909J,13.0
VR,Q18GA042948N,13.0
VR,Q18EA019626V,13.0
VR,Q21GA046170C,13.0
VR,Q18EA018429O,13.0
VR,Q18EA018429O,13.0
VR,Q18GA042954L,13.0
VR,C18LA220127U,13.0
VR,Q22GA020975G,13.0
VR,Q21GA045825O,13.0
VR,D12TA089697U,13.0
VR,Q21GA031151A,13.0
VR,,
VR,Q21GA046168I,13.0
VR,Q21GA046168I,13.0
VR,Q18GA043458E,13.0
VR,Q18EA019503L,13.0
VR,J13013003910K,20.0
VR,D12TA089681M_3037301_FICT,13.0
VR,E13QF052715T,50.0
VR,D12TA089780O,13.0
VR,D11LA267694W,13.0
VR,D11CA267718N,13.0
VR,A13ID000231N,13.0
VR,A13AD000226Q,30.0
VR,D12TA089692P,13.0
VR,Q18GA042881L,13.0
VR,A15JD000395Y,30.0
VR,J13OB003900I,20.0
VR,D12TA089691O_3037312_FICT,13.0
VR,Q18GA043152P,13.0
VR,Q18GA043152P,13.0
VR,,
VR,D12TA089548I,13.0
VR,D12TA089655K,13.0
VR,Q21GA037451R,13.0
VR,J14LA719739O,13.0
VR,D12TA089332U,13.0
VR,D12TA089453C,13.0
VR,Q18GA037905R,13.0
VR,D12TA089454D,13.0
VR,D11CA267731K,13.0
VR,J15LA851154Y,13.0
VR,J13OA117591J,13.0
VR,,
VR,,
VR,J15LA851108S,13.0
VR,Q18EA019776I,13.0
VR,Q19GA005242N,13.0
VR,Q19GA005242N,13.0
VR,Q19GA024013I,13.0
VR,Q19GA024013I,13.0
VR,J14LA728116Q,13.0
VR,J14LA728183B,13.0
VR,,
VR,J15LA850757P,13.0
VR,Q18GA042939M,13.0
VR,Q18GA042939M,13.0
VR,Q21GA046749T,13.0
VR,D11CA203525M_12_13_MIG,13.0
VR,D11CA203525M_07_13_MIG,13.0
VR,352696,13.0
VR,352696,13.0
VR,J14LA719591M,13.0
VR,Q19GA023697Q,13.0
VR,J14LA719729M,13.0
VR,Q18GA043114J,13.0
VR,Q19GA023858P,13.0
VR,Q19GA023858P,13.0
VR,J14LA719726J,13.0
VR,J13OA117592K,13.0
VR,J14LA732519M,13.0
VR,J130A117620X,13.0
VR,J14LA732522H,0.0
VR,J14LA732522H,0.0
VR,J14LA719593O,13.0
VR,J14LA719735K,13.0
VR,D10XF125298S,50.0
VR,J14LA722752T,13.0
VR,J14LA719615D,13.0
VR,J14LA732517K,13.0
VR,J14LA728193D,13.0
VR,J14LA728166A,13.0
VR,J14LA732747W,13.0
VR,J15LA851121P,13.0
VR,,
VR,Q19GA023762I,13.0
VR,,
VR,,
VR,,
VR,A13JC000697K,25.0
VR,J14LA719664M,13.0
VR,J14LA719663L,13.0
VR,J14LA719717I,13.0
VR,J14LA732754V,13.0
VR,J14LA728160V,13.0
VR,J14LA728194E,13.0
VR,Q19GA005018H,13.0
VR,,
VR,,
VR,,
VR,J14LA719685R,13.0
VR,J14LA719716H,13.0
VR,,
VR,Q18GA043257X,13.0
VR,J14LA719687T,13.0
VR,J13OA117601U,13.0
VR,J130A117593L,13.0
VR,Q18EA019591B,13.0
VR,,
VR,,
VR,,
VR,C18LA220071V,13.0
VR,J14LA719679T,13.0
VR,J14LA719672M,13.0
VR,Q21GA046014R,13.0
VR,Q21GA046014R,13.0
VR,J14LA719678S,13.0
VR,J13OA117598O,13.0
VR,J14LA732469T,13.0
VR,74774627_3037387_FICT,13.0
VR,J14LA732670S,13.0
VR,J13OA117618D,13.0
VR,J14LA732608M,13.0
VR,J14LA732612I,13.0
VR,J14LA732613J,13.0
VR,,
VR,,
VR,,
VR,,
VR,,
VR,,
VR,J14LA732742R,13.0
VR,J14LA732645R,13.0
VR,Q18GA037982E,13.0
VR,J15LA850958W,13.0
VR,J14LA732644Q,13.0
VR,J14LA732506H,13.0
VR,A13JC000659E,25.0
VR,J14LA732461L,13.0
VR,J14LA732567U,13.0
VR,J14LA732643P,13.0
VR,,
VR,J14LA732463N,13.0
VR,,
VR,,
VR,J14LA732575U,13.0
VR,Q21GA045963X,13.0
